Iteration	Posterior	Likelihood	Prior	TreeLength	OmegaCount	K	R	Pi[0]	Pi[1]	Pi[2]	Pi[3]	Pi[4]	Pi[5]	Pi[6]	Pi[7]	Pi[8]	Pi[9]	Pi[10]	Pi[11]	Pi[12]	Pi[13]	Pi[14]	Pi[15]	Pi[16]	Pi[17]	Pi[18]	Pi[19]	Pi[20]	Pi[21]	Pi[22]	Pi[23]	Pi[24]	Pi[25]	Pi[26]	Pi[27]	Pi[28]	Pi[29]	Pi[30]	Pi[31]	Pi[32]	Pi[33]	Pi[34]	Pi[35]	Pi[36]	Pi[37]	Pi[38]	Pi[39]	Pi[40]	Pi[41]	Pi[42]	Pi[43]	Pi[44]	Pi[45]	Pi[46]	Pi[47]	Pi[48]	Pi[49]	Pi[50]	Pi[51]	Pi[52]	Pi[53]	Pi[54]	Pi[55]	Pi[56]	Pi[57]	Pi[58]	Pi[59]	Pi[60]
23700	-6154.789071	-6855.853951	701.064879	31.800456	3.000000	1.256466	0.337401	0.016631	0.028343	0.040215	0.011453	0.005402	0.029054	0.003672	0.018144	0.006829	0.030801	0.010234	0.013712	0.001023	0.023621	0.011719	0.011703	0.011998	0.038860	0.014938	0.014819	0.006794	0.016831	0.003997	0.014072	0.002553	0.012961	0.000941	0.011227	0.003406	0.015020	0.054865	0.008001	0.017423	0.019313	0.024729	0.014540	0.011022	0.081474	0.011104	0.049898	0.013237	0.028328	0.006312	0.019809	0.002183	0.013588	0.020921	0.010917	0.011004	0.007918	0.014096	0.025962	0.001788	0.018042	0.016446	0.007274	0.005445	0.000573	0.025769	0.010367	0.016681
23800	-6182.079829	-6878.439807	696.359977	28.360694	3.000000	1.343336	0.411593	0.015025	0.017673	0.041392	0.008209	0.009584	0.028631	0.003780	0.018674	0.007029	0.023031	0.009250	0.017403	0.001388	0.032040	0.015784	0.013658	0.012439	0.039996	0.015375	0.018274	0.006901	0.014655	0.003540	0.014484	0.003176	0.012136	0.002261	0.011555	0.004752	0.010509	0.041334	0.007966	0.024899	0.025188	0.030649	0.015369	0.013350	0.071422	0.014138	0.043052	0.011430	0.027368	0.009192	0.022239	0.002247	0.013943	0.020639	0.009263	0.009861	0.006505	0.008713	0.021317	0.001840	0.018570	0.021922	0.009517	0.009775	0.001410	0.027407	0.010670	0.016199
23900	-6182.870860	-6856.610299	673.739439	31.419963	3.000000	1.404317	0.280353	0.019595	0.025024	0.040270	0.007604	0.009477	0.036967	0.003677	0.018168	0.008114	0.033176	0.008999	0.016931	0.004090	0.029818	0.010322	0.018550	0.010957	0.046148	0.019785	0.016719	0.006714	0.010061	0.002623	0.014092	0.003090	0.009997	0.002290	0.010007	0.004623	0.015077	0.047647	0.007750	0.021301	0.024505	0.028185	0.014953	0.010511	0.069487	0.008883	0.036343	0.010326	0.026827	0.004126	0.015889	0.001602	0.013565	0.026243	0.009376	0.009593	0.005712	0.008475	0.023029	0.001790	0.016433	0.016294	0.014800	0.007034	0.000934	0.024807	0.010081	0.020534
24000	-6176.143305	-6846.690333	670.547027	30.884118	3.000000	1.351510	0.294382	0.014427	0.025841	0.036506	0.008992	0.010434	0.037411	0.005081	0.012724	0.008934	0.025100	0.013336	0.013131	0.002139	0.032830	0.017494	0.018170	0.008945	0.042302	0.015451	0.020600	0.007504	0.013303	0.005922	0.009600	0.000766	0.007928	0.001470	0.011454	0.005091	0.015542	0.052460	0.008413	0.020821	0.023373	0.020811	0.012622	0.008891	0.070579	0.013173	0.043711	0.010012	0.025086	0.006470	0.017494	0.001363	0.014936	0.032409	0.010324	0.007531	0.008789	0.008840	0.022853	0.002990	0.018093	0.015107	0.019220	0.007759	0.000275	0.025179	0.011099	0.010890
24100	-6151.073250	-6843.276910	692.203660	35.841722	3.000000	1.454767	0.281132	0.014107	0.025268	0.034922	0.012203	0.010203	0.033339	0.001649	0.011612	0.008736	0.024544	0.007511	0.012566	0.004826	0.032102	0.016417	0.017767	0.008746	0.033979	0.015109	0.020143	0.007338	0.021152	0.005791	0.008990	0.000749	0.009012	0.001740	0.011752	0.004978	0.016225	0.051297	0.006181	0.020359	0.022854	0.020350	0.017557	0.009378	0.084672	0.010423	0.048724	0.009790	0.019240	0.006327	0.010879	0.001333	0.017418	0.031690	0.010095	0.007364	0.007757	0.008883	0.030729	0.002294	0.019234	0.021688	0.015737	0.003669	0.000269	0.031211	0.006429	0.012695
24200	-6171.667478	-6859.112607	687.445129	34.902187	3.000000	1.617243	0.256096	0.012399	0.026532	0.038736	0.007709	0.010371	0.037945	0.006439	0.012192	0.009173	0.030852	0.007887	0.019667	0.002761	0.021807	0.017239	0.010862	0.009184	0.035678	0.015607	0.021151	0.007975	0.013407	0.003345	0.013608	0.003380	0.009774	0.001827	0.012340	0.003701	0.016583	0.053863	0.006490	0.016413	0.027048	0.016566	0.018435	0.008768	0.067153	0.008052	0.051162	0.009487	0.020910	0.006644	0.016261	0.002329	0.018588	0.027414	0.010600	0.007733	0.007509	0.019778	0.032266	0.002408	0.017529	0.009249	0.014442	0.007610	0.000846	0.029251	0.008863	0.016204
24300	-6177.733549	-6847.709072	669.975523	31.177414	3.000000	1.348392	0.246484	0.012698	0.027174	0.039673	0.007895	0.010622	0.035324	0.005983	0.012487	0.006395	0.031598	0.008309	0.013522	0.001891	0.024970	0.017656	0.011124	0.009406	0.034025	0.012876	0.017905	0.006500	0.012070	0.004675	0.009591	0.003462	0.010010	0.001871	0.012638	0.003790	0.008799	0.048038	0.006647	0.019806	0.021703	0.027736	0.018881	0.008980	0.076688	0.006411	0.052399	0.009717	0.021416	0.006804	0.016655	0.002385	0.019038	0.028078	0.008741	0.007920	0.003765	0.015033	0.033047	0.002467	0.019574	0.022586	0.014792	0.006093	0.000866	0.031853	0.009077	0.017861
24400	-6170.240989	-6858.499726	688.258737	34.361275	3.000000	1.486881	0.232842	0.011518	0.024857	0.043611	0.007836	0.010265	0.028021	0.003368	0.010668	0.006347	0.021532	0.009516	0.018598	0.002127	0.028776	0.017524	0.014767	0.008305	0.032635	0.022190	0.012109	0.008224	0.015736	0.003556	0.007323	0.003436	0.009936	0.001857	0.011798	0.003905	0.016901	0.045859	0.007734	0.022078	0.019583	0.027530	0.014280	0.013634	0.089892	0.008299	0.049086	0.011628	0.018452	0.006754	0.013998	0.001579	0.018896	0.026052	0.008676	0.007022	0.005166	0.014078	0.032801	0.001737	0.017176	0.018915	0.019098	0.008388	0.000860	0.030485	0.007635	0.015386
24500	-6190.914809	-6863.261946	672.347136	36.437554	3.000000	1.358690	0.220058	0.012015	0.031920	0.024738	0.010832	0.010708	0.029473	0.003513	0.011953	0.005402	0.026297	0.008201	0.019433	0.002219	0.030753	0.013485	0.015405	0.008663	0.034044	0.014711	0.012708	0.008579	0.012228	0.003775	0.010592	0.006266	0.009592	0.003947	0.012308	0.004074	0.014725	0.044543	0.008068	0.020666	0.024629	0.024411	0.014897	0.010874	0.090945	0.008658	0.051205	0.012129	0.021817	0.007044	0.014807	0.002595	0.012161	0.027177	0.009050	0.008350	0.005389	0.008976	0.034217	0.001812	0.020459	0.017054	0.019923	0.008750	0.000897	0.031801	0.008087	0.016051
24600	-6200.410905	-6833.555243	633.144339	34.438018	3.000000	1.665136	0.406858	0.011948	0.026194	0.025739	0.011171	0.010645	0.028386	0.003623	0.012327	0.005571	0.027325	0.008458	0.019017	0.002919	0.027614	0.013217	0.015886	0.008934	0.030287	0.017774	0.015342	0.009117	0.014231	0.003615	0.010923	0.006372	0.009892	0.000735	0.012692	0.004201	0.015185	0.045936	0.007592	0.016322	0.022505	0.025174	0.017915	0.011567	0.093788	0.012114	0.052805	0.012509	0.021378	0.007264	0.013734	0.003264	0.014420	0.025736	0.009333	0.009460	0.007160	0.011898	0.033043	0.001944	0.021099	0.017587	0.019575	0.007404	0.000925	0.023065	0.007594	0.016552
24700	-6196.443357	-6839.955820	643.512463	35.131718	3.000000	1.477474	0.225408	0.012197	0.026738	0.040633	0.007738	0.005225	0.036795	0.003698	0.015793	0.005687	0.030191	0.004174	0.014192	0.002979	0.023766	0.015270	0.013927	0.007416	0.038690	0.013557	0.022226	0.007874	0.017583	0.001667	0.011150	0.001817	0.012017	0.001043	0.007550	0.004901	0.015842	0.046890	0.007750	0.012728	0.026319	0.018679	0.016195	0.014202	0.080379	0.012366	0.051399	0.012768	0.021822	0.007400	0.011336	0.003331	0.015414	0.026271	0.009527	0.007620	0.007308	0.010225	0.023197	0.006988	0.021537	0.016123	0.019982	0.008453	0.000944	0.036072	0.007751	0.016689
24800	-6189.214505	-6846.970284	657.755779	32.700867	3.000000	1.557817	0.314844	0.011781	0.034379	0.039247	0.009800	0.010182	0.035540	0.003572	0.013146	0.005296	0.029161	0.007831	0.013708	0.004874	0.027397	0.012421	0.011709	0.007163	0.034282	0.015761	0.016031	0.007606	0.016983	0.004654	0.009774	0.002378	0.010985	0.001007	0.006729	0.004261	0.015302	0.047897	0.007486	0.012294	0.020452	0.025344	0.013648	0.011830	0.084536	0.010018	0.053383	0.012333	0.021078	0.007147	0.017451	0.003218	0.014888	0.025375	0.009202	0.012445	0.007059	0.009877	0.022145	0.006749	0.020433	0.015573	0.017834	0.008165	0.000912	0.034841	0.007309	0.016120
24900	-6223.389701	-6834.198153	610.808451	34.248199	3.000000	1.408021	0.271812	0.013178	0.027598	0.038186	0.009082	0.005313	0.034578	0.003475	0.012791	0.005153	0.028373	0.006231	0.011812	0.004742	0.025671	0.010988	0.017646	0.010357	0.038571	0.015125	0.015879	0.007595	0.010920	0.006270	0.014220	0.001931	0.010688	0.001690	0.010344	0.004146	0.014888	0.042954	0.007283	0.017452	0.019192	0.024658	0.018024	0.012684	0.082249	0.009256	0.053439	0.011999	0.024700	0.005365	0.016647	0.003501	0.017624	0.026524	0.008953	0.008568	0.006868	0.009609	0.028122	0.005795	0.015909	0.022458	0.017351	0.012987	0.000887	0.028705	0.007111	0.015684
25000	-6214.375708	-6836.439173	622.063465	33.384029	3.000000	1.349575	0.257924	0.013355	0.033657	0.038699	0.008892	0.011540	0.034078	0.001247	0.012963	0.007894	0.019287	0.009652	0.010060	0.001751	0.026016	0.018880	0.013526	0.010497	0.046168	0.015328	0.015141	0.007697	0.016164	0.006355	0.010873	0.005906	0.010832	0.001030	0.008474	0.004202	0.015088	0.041826	0.006976	0.015940	0.019449	0.021693	0.018266	0.012855	0.083354	0.014541	0.048937	0.008487	0.025032	0.005437	0.016870	0.001850	0.017861	0.026881	0.009073	0.006928	0.007144	0.006100	0.028500	0.005873	0.015093	0.018707	0.017584	0.007014	0.002544	0.029091	0.008947	0.015895
25100	-6222.290059	-6829.317772	607.027713	32.609337	3.000000	1.571399	0.308469	0.018566	0.032097	0.054476	0.008747	0.011005	0.035809	0.003136	0.012362	0.009189	0.021337	0.007257	0.016848	0.001086	0.024810	0.018175	0.012988	0.010010	0.040047	0.014617	0.016015	0.004351	0.009397	0.002962	0.011145	0.002699	0.008561	0.001608	0.010293	0.002803	0.012228	0.044495	0.009877	0.020539	0.023255	0.020871	0.017416	0.015811	0.079490	0.013867	0.051589	0.009636	0.021446	0.005185	0.015600	0.002284	0.020837	0.025635	0.007451	0.010698	0.006812	0.007332	0.020876	0.004182	0.017245	0.017110	0.014878	0.006689	0.000983	0.029600	0.008532	0.015158
25200	-6225.967715	-6827.720077	601.752362	32.838943	3.000000	1.477665	0.208395	0.019627	0.029245	0.054207	0.008704	0.010950	0.035632	0.002296	0.012301	0.006894	0.031074	0.005363	0.016765	0.002072	0.024350	0.017756	0.012924	0.010428	0.039850	0.014545	0.020900	0.006013	0.009350	0.003839	0.009838	0.005104	0.008519	0.000796	0.012589	0.002306	0.012123	0.042851	0.006880	0.015904	0.027652	0.020768	0.020604	0.015733	0.079098	0.013798	0.054224	0.009589	0.021908	0.005159	0.013732	0.002273	0.020107	0.020060	0.010623	0.010952	0.005599	0.007863	0.025744	0.003248	0.017160	0.011702	0.012612	0.006656	0.002042	0.025527	0.008490	0.015083
25300	-6203.154732	-6841.617576	638.462844	35.397084	3.000000	1.467384	0.238638	0.014580	0.027847	0.043407	0.008693	0.005945	0.029717	0.002343	0.017718	0.006886	0.029728	0.007237	0.015218	0.000897	0.026304	0.017734	0.012908	0.010416	0.038479	0.014527	0.013315	0.006006	0.012727	0.003852	0.009826	0.003135	0.012506	0.004403	0.012573	0.002503	0.012108	0.042799	0.007509	0.019230	0.029668	0.022400	0.020579	0.016082	0.075964	0.010859	0.052055	0.011647	0.025259	0.004325	0.013715	0.000981	0.018964	0.027100	0.010610	0.010938	0.006607	0.015963	0.030754	0.001971	0.016694	0.019789	0.015590	0.005059	0.001324	0.023835	0.007755	0.010434
25400	-6221.808576	-6833.765443	611.956867	35.597746	3.000000	1.238909	0.172674	0.010678	0.026010	0.043795	0.007697	0.005903	0.039281	0.002327	0.017592	0.006188	0.030912	0.005892	0.017634	0.002640	0.026424	0.013877	0.012721	0.009496	0.044284	0.018121	0.017080	0.008262	0.009493	0.003825	0.009756	0.003113	0.012417	0.001731	0.010966	0.003649	0.012022	0.043104	0.004738	0.013705	0.026541	0.024803	0.020433	0.012404	0.083397	0.010782	0.044563	0.010160	0.025079	0.006142	0.016331	0.002406	0.016455	0.024932	0.010535	0.010144	0.005494	0.011498	0.034401	0.001957	0.021185	0.019649	0.004353	0.009241	0.001999	0.023665	0.011471	0.014649
25500	-6226.648315	-6871.178941	644.530626	33.611775	3.000000	1.251298	0.158045	0.017803	0.026915	0.043486	0.011186	0.010030	0.032318	0.002310	0.011073	0.007688	0.027389	0.005850	0.012135	0.002115	0.027594	0.020237	0.012449	0.008346	0.043554	0.015690	0.015832	0.008203	0.017823	0.006754	0.009462	0.000595	0.012330	0.001719	0.008906	0.003369	0.012518	0.043906	0.006775	0.021527	0.025356	0.029011	0.015853	0.011789	0.064265	0.011657	0.057109	0.011556	0.021779	0.006099	0.014698	0.002389	0.015746	0.024756	0.009460	0.013468	0.008869	0.011417	0.024626	0.001553	0.024061	0.012446	0.004877	0.009176	0.001985	0.036521	0.007045	0.014546
25600	-6207.934547	-6826.934376	618.999829	34.302039	3.000000	1.397443	0.243683	0.014277	0.026104	0.042884	0.006927	0.009809	0.031609	0.001704	0.012099	0.007520	0.026788	0.005722	0.009558	0.001535	0.032835	0.013225	0.012176	0.008163	0.042964	0.015346	0.015485	0.008023	0.012757	0.006359	0.013443	0.003569	0.006987	0.001681	0.010565	0.002861	0.012233	0.042429	0.006205	0.021055	0.031980	0.028374	0.015505	0.011530	0.074314	0.011401	0.057184	0.008484	0.021301	0.005819	0.014376	0.002337	0.015400	0.033749	0.009252	0.013172	0.007507	0.010529	0.030219	0.000488	0.023533	0.015978	0.005483	0.008974	0.001570	0.035720	0.007260	0.013663
25700	-6200.281323	-6840.231325	639.950002	32.820532	3.000000	1.422467	0.196143	0.015159	0.025487	0.042281	0.006980	0.013740	0.030148	0.001709	0.012084	0.007631	0.025550	0.005256	0.009118	0.001464	0.025022	0.010065	0.012009	0.009473	0.034115	0.016684	0.014769	0.007318	0.018243	0.006862	0.012822	0.002070	0.011230	0.002252	0.009755	0.003442	0.011667	0.051317	0.005918	0.015525	0.023895	0.025673	0.021552	0.010997	0.084150	0.010874	0.046706	0.008134	0.020317	0.006949	0.013712	0.002229	0.015222	0.032190	0.009231	0.012794	0.006940	0.009524	0.028823	0.004187	0.022446	0.023401	0.018831	0.010010	0.000145	0.034070	0.006800	0.013032
25800	-6185.711046	-6857.514732	671.803686	32.855027	3.000000	1.625403	0.344607	0.017230	0.030372	0.041359	0.007799	0.006263	0.028295	0.001839	0.013000	0.008209	0.027486	0.009955	0.010044	0.001575	0.029827	0.012233	0.016873	0.010850	0.036530	0.020453	0.015910	0.009133	0.014711	0.003647	0.013794	0.002198	0.007531	0.002423	0.011149	0.003703	0.009030	0.043989	0.007292	0.020254	0.025099	0.027618	0.023185	0.011540	0.079159	0.011698	0.048891	0.008750	0.026226	0.005283	0.014193	0.002398	0.017653	0.021129	0.007987	0.013763	0.008966	0.010245	0.023872	0.001627	0.014955	0.025174	0.019229	0.006008	0.000156	0.028656	0.007567	0.014019
25900	-6184.774904	-6852.554493	667.779589	33.019321	3.000000	1.473007	0.421992	0.016316	0.023835	0.042750	0.008061	0.009794	0.033795	0.001901	0.011742	0.004188	0.025252	0.007908	0.010381	0.001628	0.030830	0.012644	0.017440	0.011215	0.037758	0.022160	0.016445	0.009744	0.015205	0.003336	0.011014	0.002271	0.012971	0.001826	0.009924	0.003827	0.015388	0.053733	0.007537	0.021877	0.022547	0.018894	0.018125	0.014307	0.081820	0.013145	0.050534	0.009044	0.022761	0.005461	0.013520	0.001272	0.015291	0.021640	0.008941	0.015298	0.009268	0.013639	0.031068	0.001681	0.013528	0.024393	0.014865	0.006644	0.000217	0.020248	0.007822	0.009332
26000	-6163.519876	-6860.934770	697.414894	30.755643	3.000000	1.483178	0.442982	0.013608	0.023298	0.048872	0.008102	0.007965	0.036214	0.002720	0.011121	0.004209	0.026783	0.007948	0.013161	0.002838	0.030987	0.012709	0.017529	0.011272	0.037951	0.020712	0.014856	0.009794	0.016383	0.003353	0.012740	0.001871	0.012917	0.001836	0.009975	0.004886	0.015466	0.054008	0.009986	0.020263	0.025029	0.021975	0.022204	0.011377	0.071761	0.009002	0.045915	0.009561	0.022877	0.005489	0.015659	0.001362	0.015369	0.025272	0.008987	0.015377	0.009315	0.013709	0.021286	0.001690	0.013175	0.018621	0.014941	0.006678	0.000218	0.029574	0.007862	0.009380
26100	-6186.984708	-6857.338742	670.354034	31.293731	3.000000	1.178105	0.454421	0.015685	0.022859	0.047493	0.007873	0.007741	0.032284	0.002517	0.011827	0.008220	0.029619	0.007724	0.018551	0.002558	0.030113	0.017594	0.013364	0.011771	0.038342	0.020128	0.014437	0.009316	0.014241	0.003258	0.008218	0.001819	0.009176	0.003370	0.009694	0.004748	0.012933	0.052049	0.009501	0.019691	0.030307	0.021427	0.019250	0.012526	0.081904	0.009296	0.044542	0.012232	0.022232	0.006014	0.014126	0.001544	0.018704	0.023113	0.008734	0.014621	0.009052	0.010727	0.023378	0.001642	0.012461	0.018433	0.011575	0.007024	0.000212	0.025700	0.011398	0.009115
26200	-6200.785462	-6877.468002	676.682539	32.625778	3.000000	1.613173	0.292823	0.013104	0.021672	0.047268	0.009780	0.007704	0.035881	0.002879	0.012333	0.004950	0.029725	0.007688	0.017469	0.003298	0.025960	0.018213	0.013300	0.005776	0.038160	0.017625	0.011611	0.009272	0.011565	0.004609	0.007932	0.004016	0.009369	0.002929	0.017394	0.002765	0.012086	0.058117	0.008763	0.019780	0.021475	0.022848	0.017896	0.012549	0.077395	0.007557	0.057635	0.017635	0.026764	0.005985	0.014059	0.001537	0.017584	0.028617	0.008692	0.008906	0.006284	0.011333	0.023267	0.000656	0.015880	0.018346	0.011520	0.005503	0.000211	0.025800	0.010598	0.010475
26300	-6189.747673	-6876.918721	687.171049	31.972963	3.000000	1.740591	0.328664	0.013386	0.035432	0.050258	0.010028	0.007567	0.033688	0.002778	0.012646	0.006166	0.030480	0.010084	0.012553	0.001775	0.026358	0.015617	0.013638	0.012046	0.028633	0.012754	0.016774	0.009508	0.012194	0.002876	0.008133	0.002630	0.009607	0.003779	0.008885	0.002758	0.013498	0.059592	0.008985	0.017098	0.023991	0.023681	0.021191	0.012296	0.079554	0.011004	0.052901	0.006332	0.027847	0.005627	0.014416	0.002091	0.015517	0.029344	0.007872	0.011667	0.007075	0.012023	0.026023	0.000776	0.015243	0.015082	0.009569	0.003791	0.001923	0.026455	0.010867	0.013643
26400	-6188.671402	-6882.378852	693.707450	35.839214	3.000000	1.503037	0.268670	0.010141	0.035952	0.037153	0.010175	0.005999	0.034921	0.002874	0.010424	0.009543	0.029284	0.010231	0.010683	0.001801	0.026451	0.015388	0.013838	0.012222	0.035865	0.022141	0.012645	0.009647	0.007682	0.002918	0.006446	0.002226	0.008744	0.001386	0.009260	0.002799	0.013696	0.060466	0.009117	0.018805	0.021319	0.029193	0.017125	0.012476	0.079238	0.011165	0.056720	0.016003	0.026482	0.005710	0.021831	0.002122	0.012967	0.024055	0.007987	0.010139	0.007179	0.010443	0.022644	0.002836	0.015176	0.015303	0.009709	0.008984	0.001951	0.027720	0.011816	0.010782
26500	-6188.329919	-6887.686839	699.356921	32.149805	3.000000	1.412988	0.229152	0.010684	0.025374	0.037933	0.007590	0.005663	0.036794	0.002720	0.012870	0.009111	0.026430	0.006792	0.010488	0.001897	0.020823	0.013315	0.012108	0.012878	0.030289	0.015854	0.011779	0.010164	0.010259	0.003075	0.010745	0.002206	0.009213	0.002157	0.014077	0.002949	0.014430	0.063657	0.009606	0.019814	0.031100	0.029195	0.018825	0.013313	0.083488	0.010780	0.059763	0.017770	0.029631	0.006016	0.017344	0.001627	0.019564	0.020420	0.008053	0.010682	0.007564	0.011321	0.023858	0.003700	0.013279	0.017771	0.004882	0.007648	0.002958	0.023717	0.007777	0.014210
26600	-6177.118351	-6845.400083	668.281732	34.041792	3.000000	1.557364	0.205252	0.014508	0.024904	0.043016	0.007450	0.007618	0.030864	0.002669	0.007948	0.008943	0.022620	0.009153	0.015147	0.003345	0.020438	0.013068	0.011936	0.006479	0.039497	0.020083	0.017229	0.005272	0.017885	0.004498	0.010319	0.002687	0.008777	0.002117	0.008298	0.002894	0.010279	0.058522	0.009428	0.019447	0.023077	0.028655	0.017082	0.013066	0.081942	0.010581	0.058656	0.009005	0.029082	0.005578	0.017108	0.002004	0.017028	0.022393	0.008582	0.008109	0.011675	0.011868	0.027931	0.003631	0.020488	0.015200	0.009972	0.007637	0.001052	0.028817	0.007633	0.014808
26700	-6209.097761	-6864.175452	655.077692	31.830715	3.000000	1.424581	0.248313	0.014836	0.026580	0.035972	0.007774	0.006615	0.032934	0.002258	0.014908	0.009144	0.022643	0.009359	0.019839	0.002645	0.020899	0.012979	0.009935	0.009859	0.037178	0.012718	0.022676	0.009841	0.023433	0.004599	0.008832	0.002336	0.008975	0.001669	0.011254	0.004031	0.013994	0.063883	0.007710	0.019886	0.021829	0.024885	0.017914	0.008456	0.071438	0.011306	0.052472	0.007613	0.022519	0.004906	0.020283	0.002049	0.017412	0.021371	0.015505	0.017526	0.011938	0.015676	0.018193	0.003083	0.013838	0.013510	0.010079	0.004713	0.001075	0.031710	0.011359	0.015142
26800	-6191.295909	-6867.857701	676.561792	33.657020	3.000000	1.432052	0.274874	0.014849	0.031987	0.036642	0.007960	0.011606	0.044255	0.002886	0.015185	0.009315	0.023983	0.009534	0.011235	0.004067	0.015736	0.009556	0.011191	0.007401	0.040240	0.011887	0.023098	0.007622	0.019412	0.004720	0.009430	0.002379	0.009142	0.002706	0.008903	0.004844	0.014255	0.049425	0.007854	0.020257	0.025699	0.024002	0.024595	0.009918	0.070670	0.010549	0.053450	0.008950	0.022939	0.004004	0.020661	0.002087	0.020400	0.021769	0.006245	0.017853	0.016202	0.012135	0.018532	0.002060	0.018915	0.015158	0.006291	0.007780	0.001096	0.032301	0.011235	0.010943
26900	-6197.213550	-6864.427137	667.213587	33.228723	3.000000	1.353688	0.314991	0.014353	0.029287	0.045532	0.009305	0.008616	0.030025	0.002193	0.015282	0.003144	0.029676	0.007163	0.016828	0.004093	0.037954	0.017124	0.013898	0.009135	0.046111	0.018615	0.023245	0.007368	0.019536	0.005461	0.014067	0.002394	0.009974	0.002723	0.008833	0.004159	0.011722	0.046173	0.007904	0.018478	0.020072	0.019319	0.018549	0.011344	0.069833	0.016082	0.053789	0.009007	0.023084	0.004029	0.020265	0.002100	0.011070	0.024133	0.005240	0.014371	0.014410	0.012212	0.018778	0.000907	0.011711	0.015254	0.007901	0.013776	0.001102	0.022834	0.007438	0.011015
27000	-6199.992598	-6876.019026	676.026428	37.018990	3.000000	1.549578	0.146792	0.010233	0.029828	0.023924	0.009460	0.010742	0.030580	0.002233	0.010272	0.006862	0.020192	0.007295	0.017139	0.001745	0.039712	0.011576	0.024525	0.007284	0.047406	0.018959	0.023674	0.006429	0.019896	0.006545	0.008724	0.002439	0.010224	0.002773	0.006446	0.002470	0.014512	0.048038	0.006535	0.016546	0.018572	0.021666	0.018891	0.011553	0.091762	0.009804	0.054783	0.012860	0.024079	0.004819	0.017492	0.004445	0.014052	0.024578	0.009879	0.012316	0.008849	0.007315	0.019125	0.000924	0.016989	0.017589	0.015023	0.014031	0.001337	0.023256	0.007576	0.011218
27100	-6199.325165	-6870.647500	671.322335	35.195552	3.000000	1.470076	0.163330	0.008522	0.025983	0.032518	0.007582	0.005637	0.030367	0.001640	0.008009	0.004748	0.036265	0.007097	0.010339	0.000759	0.029562	0.024636	0.025204	0.011563	0.035409	0.023391	0.013185	0.006254	0.019355	0.004089	0.015155	0.001806	0.015191	0.000691	0.012590	0.002403	0.014117	0.048063	0.006357	0.014287	0.019738	0.021076	0.018377	0.011239	0.085977	0.010459	0.053293	0.019467	0.029736	0.004688	0.017932	0.001570	0.013670	0.023910	0.007626	0.014905	0.008608	0.011337	0.027189	0.002627	0.013259	0.014445	0.014614	0.009852	0.002095	0.023265	0.007370	0.008898
27200	-6174.238753	-6867.647342	693.408589	35.812624	3.000000	1.545121	0.203422	0.010467	0.030846	0.034507	0.008046	0.010100	0.037595	0.004450	0.010802	0.005039	0.034781	0.006736	0.012100	0.001671	0.025952	0.015927	0.026745	0.006846	0.046867	0.019187	0.014910	0.008797	0.011143	0.003283	0.008750	0.001916	0.014356	0.004926	0.014397	0.002998	0.014980	0.051003	0.006571	0.015161	0.020946	0.016590	0.016332	0.013324	0.091235	0.013083	0.055114	0.006900	0.019543	0.004975	0.014753	0.001666	0.013322	0.025372	0.007560	0.008295	0.010418	0.008830	0.030573	0.001344	0.021962	0.017157	0.005757	0.006648	0.002224	0.024688	0.007430	0.012101
27300	-6187.252044	-6870.490620	683.238576	33.961351	3.000000	1.327403	0.178118	0.012479	0.030192	0.034274	0.007557	0.009886	0.036797	0.003170	0.011411	0.004932	0.026963	0.006593	0.010521	0.001635	0.028319	0.017988	0.019596	0.014143	0.044907	0.018080	0.016702	0.010745	0.020342	0.003214	0.008565	0.001876	0.013150	0.003186	0.006205	0.004713	0.013209	0.044989	0.006431	0.016655	0.016308	0.022988	0.017841	0.013864	0.089299	0.013631	0.053945	0.006754	0.021185	0.004869	0.013825	0.003551	0.014331	0.024701	0.007400	0.009569	0.010787	0.010480	0.025531	0.004320	0.021496	0.014964	0.012098	0.011624	0.002157	0.023995	0.007272	0.011792
27400	-6182.293549	-6873.823913	691.530364	33.435258	3.000000	1.480319	0.229054	0.016903	0.030294	0.050539	0.009026	0.009919	0.033768	0.002584	0.011450	0.004949	0.023776	0.008636	0.014839	0.001641	0.023806	0.014395	0.018753	0.005071	0.045059	0.014001	0.017130	0.006870	0.020411	0.004652	0.008594	0.001882	0.008549	0.005794	0.010992	0.004729	0.012039	0.051676	0.007064	0.019589	0.016363	0.020187	0.011975	0.013911	0.089602	0.013677	0.040930	0.006777	0.021257	0.005894	0.013872	0.003563	0.014379	0.024785	0.007425	0.011496	0.009591	0.010515	0.022519	0.003953	0.030936	0.013841	0.010801	0.010121	0.002164	0.028324	0.007484	0.014274
27500	-6170.777631	-6862.940103	692.162471	31.794431	3.000000	1.519234	0.326232	0.016622	0.023723	0.049698	0.011856	0.011178	0.032097	0.004033	0.009820	0.006877	0.023380	0.008493	0.012447	0.001614	0.025124	0.014155	0.017988	0.012353	0.033643	0.018462	0.014450	0.006066	0.013456	0.004575	0.008231	0.001851	0.010486	0.005080	0.010809	0.004651	0.016236	0.050081	0.006946	0.012644	0.020671	0.019851	0.023307	0.013680	0.071559	0.007961	0.054022	0.010088	0.027231	0.005796	0.012948	0.001048	0.015556	0.028415	0.008380	0.010068	0.008105	0.015910	0.029433	0.001761	0.030421	0.013611	0.011546	0.008972	0.001288	0.027853	0.007359	0.014037
